地名,地名ID,英文地名,去过人数,描述,当地top1,当地top2,当地top3
广州,11,guangzhou,37061,广州地处华南，广东省的东南部，隔海与香港、澳门特别行政区相望，地理位置优越，是“海上丝绸之路”的起点之一，被称为中国的“南大门”。广州是于上海、北京之后的中国大陆经济规模第三大的城市，与北京、上海并称北上广。粤语、鲜花、粥品靓汤，是个休闲的好地方。,沙面,广州塔(小蛮腰),石室圣心大教堂
大理,12,Dali,28694,大理白族自治州地处云南省中部偏西，东巡洱海，西及点苍山脉，是中国西南边疆开发较早的地区之一。地处低纬高原，四季温差不大，常年气候温和，土地肥沃，以秀丽山水和少数民族风情闻名于世，境内以蝴蝶泉、洱海、崇圣寺三塔等景点最有代表性。,大理古城,洱海,苍山
台北,13,Taipei,13012,来台北，能看的不止是雨，哪怕是花草，都让人觉得精致无比。现代与传统，时尚与怀旧，激情与慢热，繁华与安静，各种矛盾的词汇道不尽这座淡水河边的台湾第一大城市。所以背好行囊，带上相机出发探索台北吧！,101大楼,台北故宫博物院,中正纪念堂
澳门,14,Macao,24608,澳门是世界四大赌城之一，是世界上人口最密集的地方之一。澳门是中国所辖的一个特别行政区，400年中西文化的磨合，成就了今日的澳门。澳门自秦朝起已经为中国领土，从明朝开始被葡萄牙人逐渐侵占。直至1999年12月20日葡萄牙结束对澳门的统治，中华人民共和国政府恢复对澳门行使主权，成立澳门特别行政区。,大三巴牌坊,澳门渔人码头,澳门旅游塔
哈尔滨,15,Harbin,20280,哈尔滨是中国黑龙江省省会，是中国东北北部政治、经济、文化中心，也是中国省辖市中面积最大、人口居第二位的特大城市。特殊的历史进程和地理位置造就了哈尔滨这座具有异国情调的美丽都市，素有“东方莫斯科”的美称。哈尔滨还是世界冰雪文化的发源地之一。,冰雪大世界,圣·索菲亚大教堂,亚布力阳光度假村
南京,16,Nanjing,40825,南京是中国著名的四大古都及历史文化名城之一。是华东地区第二大城市，江苏省第一大城市，国家历史文化名城，现代服务中心、现代服务业基地和先进制造业基地，长江航运物流中心，滨江生态宜居城市，长三角辐射带动中西部地区发展的重要门户城市。,夫子庙-秦淮风光带,明孝陵,南京总统府景区
青岛,17,Qingdao,34666,青岛位于山东半岛南端，是中国东部沿海地区重要的交通枢纽和海外游客入出中国的主要口岸，世界性区域贸易中心，东北亚国际航运中心，山、海、城相融相拥的城市，成为中国最优美的海滨风景带。青岛拥有国际性海港和区域性枢纽空港。,八大关景区,青岛崂山风景区,栈桥
苏州,18,Suzhou,40660,苏州是江苏重要的经济、对外贸易、工商业和物流中心，也是重要的文化、艺术、教育和交通中心。苏州物华天宝，人杰地灵，被誉为“人间天堂”，素来以山水 秀丽、园林典雅而闻名天下，有“江南园林甲天下，苏州园林甲江南”的美称，又因其小桥流水人家的水乡古城特色，而有“东方威尼斯”美誉。,拙政园,周庄古镇,同里古镇
桂林,19,Guilin City,25112,桂林是世界著名的风景游览城市和历史文化名城，享有山水甲天下之美誉。桂林是广西壮族自治区最重要的旅游城市，地处广西壮族自治区东北部。桂林风景秀丽，有以漓江风光和喀斯特地貌为代表的山水景观，“千峰环野立，一水抱城流”，景在城中，城在景中，是桂林独有的魅力。此外，桂林还有壮、瑶、苗、侗等十多个少数民族独特的民俗风情文化。,龙脊梯田,遇龙河,漓江
昆明,20,Kunming,33562,昆明的西山犹如睡美人般静卧与滇池之上，大观楼上的长联，述写出五百里滇池的波澜壮阔，金殿里陈圆圆的雕像屹立于湖心，历经百年沧桑风雨，物是人非，徒留一句“冲冠一怒为红颜”的感叹，自古英雄难过美人关，一代枭雄吴三桂也终究拜倒在美女的裙裾之下。,石林国家地质公园,滇池风景区(海埂公园),东川红土地景区
深圳,21,Shenzhen,33063,深圳，又称为“鹏城”，位于珠江三角洲东岸，与香港一水之隔。是中国最早的经济特区和计划单列 市，创造过“深圳速度”，中国政府将其视为改革开放的“试验田”及展示改革开放成果的窗口。深圳是中国的移民城市，外来人口增长快、比例高， 语言、文化复杂、多样，治安、社会问题也非常突出。,东部华侨城,世界之窗,西涌
黄山,22,Mount Huang,19703,黄山市以境内山岳“黄山”之名设立地级市，其境与绩溪县、婺源县共同构成的古徽州地区创造了中华三大地域文化之一的徽文化，孕育了明清商界闻名达500余年的徽商。境内的黄山为道教圣地，遗址遗迹众多，列中华十大名山的第二位，有“天下第一奇山”之美誉。除黄山外，还有齐云山、西递宏村、屯溪老街、花山迷窟、徽州古城等著名景点，是休闲旅游的理想之地。,黄山风景区,宏村风景区,西海梦幻景区
张家界,23,zhang jiajie,17047,张家界位于湖南西北部，保存着完好的青石板路及古民居。澧水中上游，属武陵山脉腹地，为中国最重要的旅游城市之一。张家界旅游资源丰富。大自然的鬼斧神工，造就了美妙绝伦的张家界景观，长居水泥森林之中，到此地所感受到的美妙，难以用言辞表达。 有土家族民族特色和两千多年历史文化的古镇，至今仍保存完好。,张家界国家森林公园,张家界天门山景区,金鞭溪
拉萨,24,Lhasa,15508,拉萨，在藏语中为“圣地”或“佛地”之意，长期以来就是西藏政治、经济、文化、宗教的中心。虔诚的朝拜者，刻着经文的转经筒，金碧辉煌的布达拉宫，云雾缭绕的唐古拉山，湛蓝如洗的天空，神秘而深厚的宗教文化，干净而原始的自然风景，以及被众多背包客盛赞为“净化心灵”的城市力量，吸引着越来越多的游客前往拉萨。,布达拉宫,纳木错,大昭寺
武汉,25,Wuhan,26596,武汉简称“汉”，湖北省省会，世界第三大河长江及其最长支流汉江横贯市区，将武汉一分为三，形成武昌、汉口、汉阳三镇跨江鼎立的格局。武汉是中国15个副省级城市之一，全国七大中心城 市之一，全市常住人口858万人。武汉是华中地区最大都市，华中金融中心、交通中心、文化中心，长江中下游特大城市，是武汉城市圈的中心城市。,武汉大学,黄鹤楼,湖北省博物馆
青海湖,26,Qinghai Lake,13459,青海湖是中国最大的内陆高原湖泊，也是中国最大的咸水湖，由祁连山的大通山、日月山与青海南山之间的断层陷落形成。青海湖的蒙古语为“库库诺尔”，藏语为“错温布”，都意为：青色的海。青海湖湖水干净、清澈，附近景区沿湖分布，以原子城（西海镇）为起点，主要景区为日月山、沙岛、151基地（二郎剑景区）、鸟岛、金银滩草原。,茶卡盐湖,黑马河乡,祁连山草原
九寨沟,27,Jiuzhaigou Valley,19665,九寨沟位于四川省阿坝藏族羌族自治州九寨沟县漳扎镇，沟内分布108个湖泊。九寨沟四季景色迷人。动植物资源丰富，种类繁多，原始森林遍布，栖息着大熊猫等十多种稀有和珍贵野生动物。被誉为“美丽的童话世界”。 水是九寨沟景观的主角。碧绿晶莹的溪水好似项链般穿插于森林与浅滩之间。色彩斑斓的湖泊和气势宏伟的瀑布令人目不暇接。,五花海,九寨沟五彩池,珍珠滩瀑布
天津,28,Tianjin,32801,天津，中华人民共和国直辖市。位于环渤海经济圈的中心，是中国北方最大的沿海开放城市、近代北方最早对外开放的沿海城市之一，天津还是中国第二大工商业城市和北方最大的金融商贸中心，建有大型港口和工业基地，天津有“万国建筑博览会”之称，是中国近代工业的发源地。,天津之眼,五大道,意大利风情街
长沙,29,Changsha,23048,长沙为湖南省省会，位于湖南省东部，湘江下游长浏盆地西缘。长沙市南接株洲市和湘潭市，西抵娄底市，北达岳阳市、益阳市，东挨江西省宜春市、萍乡市。有风景独秀“霜叶红于二月花”的岳麓山，有水洲相拥“春来江水绿如蓝”的湘江；有在海内外享有盛名的“世界第八大奇迹”马王堆汉墓、“千年学府”岳麓书院及“三国东吴”简牍。,橘子洲,岳麓山风景名胜区,岳麓书院
泸沽湖,30,Luguhu,13779,泸沽湖素有“高原明珠”之称，湖中各岛婷婷玉立，形态各异，林木葱郁，翠绿如画。身临其间，水天一色，清澈如镜，藻花点缀其间，缓缓滑行于碧波之上的猪槽船和徐徐飘浮干水天之间的摩梭民歌，使这里更增添几分古朴宁静，是一个远离城市喧嚣、未被污染的处女湖。,泸沽湖,草海,里格岛
大连,31,Dalian,21668,大连是辽宁省第二大城市，东北地区经济发达城市。是一个充满魔力的海滨城市。大连地理位置优越，是京津的门户，与日本、韩国、朝鲜和俄罗斯远东地区相邻。蓝天、碧海、青山、白石、连绵起伏的海岸，潮起潮落的大海，风景如诗如画，一派旖旎的海滨风光。大连美妙的自然风光，加上多彩的人文景观，更让人流连忘返。,老虎滩海洋公园,星海广场,金石滩国家旅游度假区
乌镇,32,Wu Zhen,22905,古镇民居临河而建、傍桥而市，镇内民风纯朴，是江南水乡“小桥、流水、人家”的典范。乌镇是国家AAAAA级景区，全国二十个黄金周预报景点及江南六大古镇之一。乌镇是典型的江南水乡古镇，素有“鱼米之乡，丝绸之府”之称。曾名乌墩和青 墩，具有六千余年悠久历史。水阁，乌镇由此又被称为“中国最后的枕水人家”。,西栅,东栅,南栅
鼓浪屿,33,Kulangsu,27183,鼓浪屿上冈峦起伏，碧波、白云、绿树交相辉映，处处给人以整洁幽静的感觉，拥有日光岩、菽庄花园、港仔后海滨浴场、郑成功纪念馆等旅游景点。由于历史原因，中外风格各异的建筑物在此地被完好地汇集、保留，有“万国建筑博览”之称。龙头路商业街还有张三疯奶茶、赵小姐店铺、三老肉脯干等诸多火热商铺，小岛还是音乐的沃土，人才辈出，钢琴拥有密度居全国之冠，又得美名“钢琴之岛”、“音乐之乡”。,菽庄花园,日光岩,风琴博物馆
凤凰古镇,34,Feng Huang,19387,凤凰西南，有一山酷似展翅而飞的凤凰，古城因此而得名。古城位于湖南省湘西自治州西南边，县治总面积1700多平方公里，是一个以苗族、土家族为主的少数民族聚集县。凤凰有着“中国最美的小城”之誉和“画乡”的美称。核心古城始建于清康熙四十三年（1704年），历经300年风雨沧桑，古貌犹存。,凤凰古城,沱江,虹桥
长白山,35,Changbai mountain,7920,"长白山位于吉林省延边州安图县和白山市抚松县境内，素有“千年积雪万年松，直上人间第一峰”的美誉，是中朝两国的界山。因其主峰多白色浮石与积雪而得名。中国境内的白云峰海拔2,691米，是东北第一高峰，位于朝鲜境内的将军峰是长白山最高峰。长白山是中国东北境内海拔最高、喷口最大的火山体。",长白山天池,长白山北坡,长白山风景区
阳朔,36,YangShuo,20803,"“桂林山水甲天下，阳朔山水甲桂林”，阳朔即阳朔县，隶属于广西桂林市，面积有1,428平方千米。这里有传说的壮族歌仙刘三姐抛绣球定情的千年古榕，有国内外游客叹为观止的月洞奇观，还有被誉为“小漓江”之称的遇龙河。连绵数十里的山峰，如笋拔地，山围水，水绕山，有“中国旅游名县”的美誉。",遇龙河,西街,漓江漂流(杨堤-兴坪段)
珠海,37,Zhuhai,17645,珠海市是珠江三角洲南端的一个重要城市，位于广东省珠江口的西南部。珠海的海岸线长 604公里，有大小岛屿147个，故有“百岛之市”的美誉。珠海从昔日一个经济落后的边陲小县，一跃成为新型花园城市。于景在城中，城在景中。,珠海长隆海洋王国,情侣路,外伶仃岛
呼伦贝尔,38,Hulun Buir,5259,呼伦贝尔草原是世界四大草原之一，被称为世界上最好的草原。在这片地域辽阔、风光旖旎的地方，有松涛激荡的大兴安岭林海、水草丰美的草原、蜿蜒曲折的莫尔格勒河……你还可以住在俄罗斯特色的“木刻楞”里，吃上一顿俄式大餐，感受边陲小镇的异国风情。这里就像一幅绚丽的画卷，而人们便是草原上欢乐的小羊。,呼伦贝尔大草原,额尔古纳湿地,室韦俄罗斯民族乡
西塘,39,Xi Tang,21198,西塘古镇位于浙江省嘉兴市嘉善县。嘉善位于江，浙，沪，二省一市交界处，这里离上海、苏州、杭州都在100公里以内，交通方便，西塘地势平坦，河流密布，自然环境十分幽静。被列入世界历史文化遗产预备名单，中国首批历史文化名镇。西塘是一座有千年历史文化的古镇。,西塘古镇,烟雨长廊,石皮弄
北海,40,Beihai City,9947,北海一个浪漫的城市，沙软如毯的银滩铺成直通大海的走廊，炊烟渺渺的涠洲岛令人犹如远离尘世。特别一提的是，被中国国家地理评为“中国最美的小岛”——北海涠洲岛，其梦幻如画的景致，自然淳朴的风情，使之成为时下最热门的广西旅游胜地，最好小住上几天，才能体会到真正的海洋天堂。,鳄鱼山火山公园,北海银滩,涠洲岛
婺源,41,Wuyuan County,11040,婺源县位于位于中国江西省东北部，上饶市北部。婺源素有“书乡”、“茶乡”之称，是全国著名的文化与生态旅游县。婺源为古徽州府所辖的六县之一，也是徽州文化的发祥地之一。境内古村落遍布乡野，保存完整，且独具徽派风格，被外界誉为“中国最美乡村”、“一颗镶嵌在赣、浙、皖三省交界处的绿色明珠”。,李坑,江岭,思溪延村
香格里拉,42,Shangri-La,17364,云南省迪庆藏族自治州香格里拉县青藏高原南缘，横断山脉腹地，是滇、川、藏三省区交汇处。香格里拉素有“高山大花园”、“动植物王国”、“有色金属王国”的美称。在香格里拉县的普达措国家公园，分布着两个高原湖泊：属都湖与碧塔海。香格里拉是一个自然景观、人文景观的富集区域，是国家八大黄金旅游热线之一。,普达措国家公园,噶丹·松赞林寺,纳帕海
敦煌,43,Dunhuang,10222,敦煌位于甘肃、青海、新疆三省（区）的交汇点。在 这个群山拥抱的天然小盆地中，党河雪水滋润着肥田沃土，绿树浓荫挡住了黑风黄沙；粮棉旱涝保收，瓜果四季飘香；沙漠奇观神秘莫测，戈壁幻海光怪陆离；文化遗存举世闻名，人才辈出……美丽的敦煌，是块富饶、神奇、诱人的土地。,莫高窟,鸣沙山,雅丹国家地质公园
垦丁,44,Kenting,8341,《少年派的奇幻漂流》里，PI最终上岸时战胜自我、重新开始美好生活的秀美海滩的取景地就在垦丁。这片国境之南，有来自太平洋的风，有碧蓝纯净海滨风光，有坚持原创鼓励个性的“春天呐喊”音乐节，有希腊的浪漫、夏威夷的热情，一切都忽隐忽现在文艺小清新的格调里。境内的主要景点绝大多数都在垦丁国家公园的范围内，垦丁国家公园是台湾第一座国家公园，每到落山风开始的季节就会有许多来自北方的珍贵鸟类来此避冬。此外，海底的珊瑚景观也是垦丁国家公园的一大特色。随着电影《海角七号》和《少年派的奇幻漂流》热映，更使得恒春与垦丁声名大噪。,垦丁大街/垦丁大街夜市,垦丁国家森林游乐区,垦丁牧场
峨眉山,45,Mount Emei,14118,峨眉山是中国佛教四大名山之一，位于中国四川省峨眉山市境内，地势陡峭，风景秀丽，有“秀甲天下”之美誉。当地气候多样，植被丰富，共有3000多种植物，其中包括世界上稀有的树种，山路沿途有较多猴群，常结队向游人讨食，为峨眉一大特色。与此同时，峨眉山是上古学仙修道圣地之，有寺庙约26座，重要的有八大寺庙，佛事频繁。,峨眉山风景区,峨眉山金顶,十方普贤圣像
无锡,46,Wuxi,23099,无锡是一块依山傍湖的风水宝地，灵山大佛就建在此处。鼋头渚、京杭古运河、锡惠公园是无锡的精华，但绝不是全部，论园林之美，有寄畅园、蠡园、梅园；论历史之悠远，有天下第二泉、薛福成故居、南禅寺。到过才知道“无锡是个好地方”这句话所言非虚。,鼋头渚,灵山胜境风景区,灵山大佛
稻城,47,Daocheng,4577,稻城地处青藏高原东南部，位于中国四川省西南边缘，横断山脉东侧。属康巴藏区的甘孜藏族自治州。其中藏族占96%以上，此外有汉、纳西、回、彝等民族。稻城景色憾人心魄，1145个高山湖泊散落于嶙峋乱石间，碧蓝如玉，景色极为壮观，因而被誉为“最后的香巴拉”。,亚丁风景区,牛奶海(俄绒措),仙乃日
西双版纳,48,Xishuangbanna,8512,西双版纳，古代傣语为 “勐巴拉那西”，意为“理想而神奇的乐土”。这里以美丽的热带雨林自然景观和少数民族风情吸引了不少游客前往，它是镶嵌在祖国南疆的一颗璀璨明珠、耀眼宝石。即使不是泼水节，勐龙路边的咖啡和成排的油棕树，雾蒙蒙的水汽也会在黄昏把整个城市照亮，十分漂亮。,曼听公园,望天树景区,西双版纳原始森林公园
花莲,49,Hualien,6880,花莲县是台湾面积最大的县，是高山族聚集人数最多的县份，也是台湾原住民最多的区域，境内原住民以台湾原住民第一大族阿美族分布最广。每年7、8月，各部落丰年祭吸引众多人潮前来观赏，是花莲最重要的人文盛事。此大山大水，使得花莲深具自然原始之美，由北而南，横跨太鲁阁公园、东海岸风景区、花东纵谷风景区、玉山公园四大观光资源。花莲的旅游业相当兴盛，风景宜人有太鲁阁国家公园、花东纵谷、花东海岸线，观光产业相当丰富。,太鲁阁公园,七星潭,清水断崖
华山,50,Mount Hua,11723,华山为五岳中的西岳，主峰海拔2154.9米。华山山体倚天拔地，四面如削，更有千尺幢、百尺峡、苍龙岭、鹞子翻身、长空栈道等十分险峻之地，被誉为“奇险天下第一山”。凭藉大自然风云变换的装扮，华山的千姿万态被有声有色的勾画出来，是国家级风景名胜区。窄仄的山道蜿蜒曲折向前，处处悬崖绝壁，险象环生。华山奇峰耸立，巨石天成，山中古松相映，亭阁庙宇依山而建。,长空栈道,东峰,北峰
西宁,51,Xining,13239,西宁古称“湟中”，是一座具有2100多年历史的高原古城。四面环山，三川会聚，市内湟水及其支流缓缓东向流过。市内居住汉、藏、回、蒙古、撒拉、满及土等众多民族。西宁是丝绸之路青海道的通衢、沟通中原与西部边地的重要城镇，也是历史上“唐蕃古道”必经之地。,塔尔寺,东关清真大寺,日月山
涠洲岛,52,Weizhou Island,5030,涠洲岛是中国最年轻的火山岛，也是广西最大的海岛。从高空鸟瞰，涠洲岛像一枚弓型翡翠浮在大海中。沿海海水碧蓝见底，海底活珊瑚、名贵海产瑰丽神奇，种类繁多，岛上植被茂密，风光秀美，奇特的海蚀、海积地貌，火山熔岩让人称绝，在《中国国家地理》杂志“选美中国”活动中，涠洲岛被评为“中国十大最美丽海岛”，位列第二。,鳄鱼山火山公园,五彩滩,盛塘天主教堂
济南,53,Jinan，Tsinan,20491,济南市又称泉城，是中国山东省省会及最大城市，山东省政治、文化、教育中心，华东五大城市之一，中国历史文化名城。济南拥有2700多年的历史， 是中华文明的重要发祥地之一，是龙山文化的发祥地。因境内有“七十二名泉”故被称为“泉城”，并素有“四面荷花三面柳，一城山色半城湖”的美誉。济南是个少数民族聚集的地方。,趵突泉景区,大明湖,济南千佛山风景名胜区
泰山,54,taishan,16742,泰山是我国的“五岳”之首，有“中华国山”、“天下第一山”之美誉，又称东岳，列中华十大名山之首，位于山东泰安，泰山也是佛、道两教兴盛之地，是历代帝王朝拜之山。泰山著名风景有天烛峰、日观峰、百丈崖、仙人桥、五大夫松、望人松、龙潭飞瀑、云桥飞瀑、三潭飞瀑等。,十八盘,日观峰,南天门
扬州,55,Yangzhou,16967,扬州，地处江苏省中部，长江下游北岸。扬州现在是全国首批24座历史文化名城之一，是中国首批优秀旅游城市。扬州市区不大，且大多集中于广陵区和古运河沿岸，体力稍好的，步行就能逛遍扬州。个园、何园、瘦西湖、大明寺是到扬州来不可错过的经典景点。,瘦西湖,何园,个园
色达,56,Sertar,2818,色达位于甘孜藏自治州西北部，东邻阿坝藏羌族自治州壤塘县，北与青海省班玛、达日两县接壤，西、南海拔4127米，辖4区2镇15乡、66个行政村，大部分从事畜牧业生产。色达有著名的喇荣寺五明佛学院，五明佛学院是世界上最大的佛学院，具有悠久的历史气息。,喇荣五明佛学院,色达天葬台,坛城
贵阳,57,Guiyang，Kweiyang,10840,贵阳，是一座山城，因为在贵山之阳而得名。贵阳又称作“林城”，被誉为“高原第二春城”，春城昆明美在热情浓艳，贵阳则美在灵秀洁净。贵阳的多数景区多以“公园”命名，公园里有着连绵不尽的葱翠山峰、碧湖溶洞，充分的证明了贵州的好山好水无处不在。除却山清水秀，惬意自在也是贵阳的一张名片，整个城市生活节奏舒缓，不像大都市那样紧张。,青岩古镇,黔灵山公园,天河潭
洛阳,58,Luoyang,13896,洛阳位于河南省西部，是我国“七大古都”之一。千年帝都，牡丹花城，从夏朝开始共有13个王朝在洛阳定都。它是河洛文化发源地，也是中华文明的发源地之一，是千余年中国的政治经济中心，也是中国重工业城市。经过多年建设和发展，现在洛阳已经成为闻名中外的休闲城市。,龙门石窟,洛阳白马寺,洛阳古代艺术博物馆
雪乡,59,Xue Xiang,4462,位于黑龙江省牡丹江市辖下海林县长汀镇双峰林场，距长汀镇105公里，占地面积500公顷，整个地区海拔均在1200米以上。雪期长、降雪频繁积。,羊草山,雪韵大街,雪乡国家森林公园
沈阳,60,shenyang,16305,"沈阳是辽宁省省会，面积12,980平方公里，人口740万，下辖九区一市三县及两个国家级开发区。沈阳以重工业装备制造著名，素有“东方鲁尔”的美誉。沈阳以其优越的地理位置，雄厚的工业基础及较强的科技实力、完善的市场体系和发达的交通网络，成为了中国最具吸引力的投资地区之一。",沈阳故宫博物院,张氏帅府博物馆,北陵
高雄,61,Kaohsiung,8010,高雄全年长夏无冬，一派热带风光，是一座美丽的海港城市。一条“爱河”缓缓流过高雄市区，为高雄增添了无限风光和浪漫气息；有“台湾西湖”美誉的西子湾风景区拥有多处独具特色的旅游景点，为南台湾最富盛名的观光地区，全区风光旖旎，适宜欣赏湖光水色、泛舟垂钓。位于左营的莲池潭风景区也有孔庙、龙虎塔、春秋阁等多处观光景点；从鼓山乘坐轮渡来到旗津岛，岛上有旗津海岸公园和旗津海水浴场，还有旗津灯塔和旗后炮台，更有美味海鲜值得前去品尝。,捷运美丽岛站光之穹顶,驳二艺术特区,西子湾风景区
漠河,62,Mohe County,3475,"漠河县旅游资源得天独厚，所辖北极村是中国唯一可观赏到北极光的地方。下辖四镇一乡和五个林场，总面积18,367平方千米。境内聚居着汉、蒙古、 回、满、朝鲜、鄂温克、鄂伦春、锡伯、土家等11个民族。漠河资源丰富，黄金开采有百余年的历史，曾被慈禧定为“胭脂沟”。",北极村,北红村,九曲十八弯
西北,63,Northwest China,1576,西北地区包括黄土高原西部、渭河平原、河西走廊、青藏高原北部、内蒙古高原西部、柴达木盆地和新疆大部的广大区域，自然及矿产资源丰富。西北地形多样，地貌独特，风光壮丽。,西安古城墙,华山,秦始皇兵马俑博物馆
海口,64,Haikou,15836,海口，位于海南岛最大的河流——南渡江口西侧，地当南渡江的出海之口，故取名为海口。地势南高北低，由台地向平原过渡。海口市是海南省政治、经济、文化、交通中心，海、陆、空交通的枢纽，闻名中外的滨海旅游城市。海口风光秀丽，名胜古迹众多，旅游景点相对集中。海口正在发展成为集观光游览、商务会展、文化娱乐为一体的综合型全国热带滨海旅游休闲胜地。,骑楼老街,雷琼地质公园(火山群世界地质公园),假日海滩
福州,65,Fuzhou、Hockchew,11132,"福州是中国优秀旅游城市之一，名山、名寺、名园、名居繁多，独具滨江滨海和山水园林旅游城市风貌，尤其是鼓山，人说“到了福州没上鼓山等于没来福州”。 福州历史悠久，风光秀丽、名胜众多，早在1600多年前,西晋尚书郎郭璞在《迁城记》中就有“左旗右鼓，全国二绝”记载。福州为全国三大温泉区之一，它不仅以温泉集中市区中心为世界各大中城市所罕见，且泉脉广、水量大、温度高、质量好而驰名遐迩。",三坊七巷,鼓山,福州国家森林公园
绍兴,66,Shaoxing City,13906,绍兴市，是中国历史文化名城。简称越。绍兴市位于浙江省中北部、杭州湾南岸。相对于其他南方水乡，绍兴更多了分书卷气和黄酒香。绍兴飘着酒香，荡着水韵，其风情堪与苏杭媲美。绍兴是个人文荟萃的江南人文水镇，漫步其间，不时能寻到王羲之、陆游、鲁迅等古今名人的足迹，浓郁隽永的人文气息才是绍兴最动人的风景。,鲁迅故里风景区,东湖风景区,柯岩风景区
宁波,67,Ningbo,14246,宁波，浙江第二大城市，是浙江的三大经济中心之一。宁波港是中国货物吞吐量第一大港口，集装箱吞吐量则在2010年首次跃居第3位。宁波的四大金名片：宁波装、宁波帮、宁波港、宁波景。宁波有港城、商城、名城、绿城之称。,天一阁,溪口·雪窦山风景名胜区,溪口蒋氏故里
